127.0.0.1 - - [02/Nov/2014:12:49:43 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:49:48 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:49:48 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:49:49 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:07 +0530] "GET /vision/ HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 200 198312
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 200 15282
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 200 77814
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 200 55305
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 200 130388
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 200 96450
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 200 67726
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 200 67695
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 200 75238
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 200 82286
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 200 92059
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 200 102177
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 200 118435
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:08 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:24 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:24 +0530] "GET /vision/user/js%20files/user_login.js HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:24 +0530] "GET /vision/user/images/loginform/password.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:24 +0530] "GET /vision/user/images/loginform/name.jpg HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:34 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:38 +0530] "GET /vision/user/jsp%20files/index/features.jsp HTTP/1.1" 200 9126
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:38 +0530] "GET /vision/user/js%20files/scroll.js HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:38 +0530] "GET /vision/user/images/reasons/udaipur2.jpg HTTP/1.1" 200 159128
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:38 +0530] "GET /vision/user/images/reasons/Jagdish-Temple-Udaipur-640x480.jpg HTTP/1.1" 200 83625
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:38 +0530] "GET /vision/user/images/reasons/4177219622_9a9aa36759_z.jpg HTTP/1.1" 200 133797
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:38 +0530] "GET /vision/user/images/reasons/udaipur_city_palace2.jpg HTTP/1.1" 200 54693
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:39 +0530] "GET /vision/user/images/reasons/ShilpGramGoaday-4-610x330.jpg HTTP/1.1" 200 70651
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:45 +0530] "GET /vision/user/jsp%20files/index/information.jsp HTTP/1.1" 200 11734
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:46 +0530] "GET /vision/user/images/udaipur-city-map.jpg HTTP/1.1" 200 204036
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:53 +0530] "GET /vision/user/jsp%20files/index/features.jsp HTTP/1.1" 200 9126
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:54 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:55 +0530] "GET /vision/user/jsp%20files/register/register.jsp HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:56 +0530] "GET /vision/user/css%20files/user.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:50:56 +0530] "GET /vision/user/js%20files/user_register.js HTTP/1.1" 200 7686
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:52:54 +0530] "GET /vision/user/jsp%20files/forgotpassword/forgot.jsp HTTP/1.1" 200 3287
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:52:54 +0530] "GET /vision/user/js%20files/forgot.js HTTP/1.1" 200 2604
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:53:07 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:53:35 +0530] "POST /vision/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:53:35 +0530] "GET /vision/user/jsp%20files/error/loginerror.jsp HTTP/1.1" 200 5015
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:53:46 +0530] "GET /vision/user/jsp%20files/index/features.jsp HTTP/1.1" 200 9126
0:0:0:0:0:0:0:1 - - [02/Nov/2014:12:53:47 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
