127.0.0.1 - - [29/Mar/2015:23:43:18 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 200 55305
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 200 77814
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 200 118435
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 200 67695
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 200 102177
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 200 67726
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 200 82286
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 200 96450
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 200 130388
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 200 75238
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 200 92059
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 200 198312
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:38 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:40 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:40 +0530] "GET /vision/user/js%20files/user_login.js HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:41 +0530] "GET /vision/user/images/loginform/password.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:41 +0530] "GET /vision/user/images/loginform/name.jpg HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "POST /vision/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_index.jsp HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/js%20files/grid.js HTTP/1.1" 200 8491
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/css%20files/grid.css HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/images/grid/1.jpg HTTP/1.1" 200 329745
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/images/grid/3.jpg HTTP/1.1" 200 112777
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/images/grid/4.jpg HTTP/1.1" 200 79822
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/images/grid/5.jpg HTTP/1.1" 200 148618
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/images/grid/2.gif HTTP/1.1" 200 163244
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/images/grid/6.jpg HTTP/1.1" 200 53068
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:49 +0530] "GET /vision/user/images/loginform/user1.png HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:50 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:52 +0530] "GET /vision/user/jsp%20files/afterlogin/feedback.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:52 +0530] "GET /vision/user/js%20files/user_feedback.js HTTP/1.1" 200 2342
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:43:52 +0530] "GET /vision/user/css%20files/user.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:44:23 +0530] "POST /vision/FeedbackServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:44:23 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_index.jsp HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [29/Mar/2015:23:44:24 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
